Example                                                    Steps  Period   Runtime  Solution
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2   12.18   4591.86  (solution39)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2   12.78   4613.58  (solution40)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2   13.97   4931.41  (solution41)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2   14.77   5036.57  (solution42)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2   15.64   5208.12  (solution43)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2   16.36   5218.84  (solution44)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2   17.16   5474.04  (solution45)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2   25.89   7482.21  (solution46)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2   41.64  10534.92  (solution47)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2   80.23  18212.21  (solution48)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2  133.29  29723.67  (solution49)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:       2  242.35  53074.65  (solution50)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10    4.55  23437.05  (solution51)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10    4.55  22754.55  (solution52)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10    4.55  22754.55  (solution53)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10    4.55  22026.55  (solution54)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10    4.55  17203.55  (solution55)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10    5.08  16159.48  (solution56)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10    6.12  18121.32  (solution57)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10    6.96  19007.76  (solution58)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10    7.79  19794.39  (solution59)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10    8.62  18196.82  (solution60)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10    8.62  18196.82  (solution61)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10   10.30  20610.30  (solution62)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10   11.01  21810.81  (solution63)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10   12.18  22910.58  (solution64)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10   12.78  23016.78  (solution65)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10   13.97  24601.17  (solution66)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10   14.77  25123.77  (solution67)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10   15.64  25978.04  (solution68)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10   16.36  26028.76  (solution69)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10   17.16  27301.56  (solution70)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10   25.89  37307.49  (solution71)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10   41.64  52508.04  (solution72)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10   80.23  90740.13  (solution73)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10  133.29  148085.19  (solution74)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:      10  242.35  264403.85  (solution75)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100    4.55  241614.10  (solution76)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100    4.55  241154.55  (solution77)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100    4.55  227504.55  (solution78)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100    4.55  220224.55  (solution79)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100    4.55  171994.55  (solution80)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100    5.08  161549.08  (solution81)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100    6.12  181158.12  (solution82)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100    6.96  190014.96  (solution83)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100    7.79  197873.79  (solution84)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100    8.62  181890.62  (solution85)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100    8.62  181890.62  (solution86)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100   10.30  206010.30  (solution87)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100   11.01  218009.01  (solution88)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100   12.18  228996.18  (solution89)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100   12.78  230052.78  (solution90)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100   13.97  245885.97  (solution91)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100   14.77  251104.77  (solution92)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100   15.64  259639.64  (solution93)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100   16.36  260140.36  (solution94)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100   17.16  272861.16  (solution95)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100   25.89  372841.89  (solution96)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100   41.64  524705.64  (solution97)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100   80.23  906679.23  (solution98)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100  133.29  1479652.29  (solution99)
/home/benny/mehari-private/examples/dc_motor/dc_motor.c:     100  242.35  2641857.35  (solution100)
